chinese,count,korean,english
中國,6475,중국,People's Republic of China
台灣,5406,대만,Taiwan
美國,2301,미국,United States
疫情,1917,전염병 상황,Outbreaks
習近平,1625,시진핑,Chinese President Xi Jinping
國家,1399,국가,Country
經濟,1199,경제,Economy
政府,1168,정부,Government
疫苗,1003,백신,Vaccines (disambiguation)
政策,938,정책,Policies
問題,909,문제,Question(s)
人民,898,국민,people
北京,896,베이징,Peking
全球,851,글로벌,global
總統,833,대통령,President
國民黨,823,국민당,Kuomintang (People's Republic of China)
國際,787,국제,International
日本,782,일본,Japan
政治,777,정치,Politics
民眾,752,민중,people
民進黨,748,민진당,Democratic Progressive Party (DPP)
兩岸,709,양안,both sides of the Taiwan Strait
民主,659,민주주의,Democracy (disambiguation)
烏克蘭,638,우크라이나,Ukraine national football team
病例,630,병례,Case study
台積電,589,TSMC,TSMC Corporation
和平,586,평화롭다.,Peaceful
本土,572,본토,mainland
世界,565,세계,the world
市場,548,시장,market
病毒,547,바이러스,Virus (disambiguation)
台海,534,타이 해,Taiwan Strait (People's Republic of China)
中央,505,중앙,Central government
台北市,500,타이베이 시,City of Taipei
俄羅斯,483,러시아,Russian Federation
蔡英文,469,차이잉원,Tsai Ing-wen (disambiguation)
軍事,455,군사,Military
半導體,454,반도체,semiconductor
主席,454,주석,President
議題,446,의제,Topics
代表,413,대표자,Representative
入境,409,입국하다,Entry into the country
社會,405,사회,Society (disambiguation)
境外,404,국외,Outside China
產業,401,산업,Industries
能力,394,능력,Ability
戰略,392,전략,Strategy
企業,383,기업,Business enterprises
香港,374,홍콩,Hong Kong (People's Republic of)
英國,352,영국,United Kingdom of Great Britain and Northern Ireland
會議,347,회의,Meetings
蔣萬安,346,장완안,Jiang Wan'an (disambiguation)
國內,345,국내,Domestic
高雄市,315,가오슝 시,Kaohsiung Municipality
風險,315,위험,Risks
醫療,315,의료,Medical
黨,312,당,Party (disambiguation)
市長,308,시장,Mayor of the United States
金門縣,308,진먼현,"Golden Gate County, California"
官員,305,관원,Official
核酸,300,핵산,nucleic acid
上海,286,상하이,City of Shanghai
外交,280,외교,Foreign relations
科技,280,과학 기술,Science and technology
新冠,276,코로나19,New coronavirus
醫院,271,병원,Hospitals
大陸,268,대륙,Continental
旅客,262,나그네,Travellers
歐洲,261,유럽,Europe
網友,261,네티즌,Internet users
議員,261,의원,Member of Parliament
德國,260,독일,Germany
肺炎,258,폐렴,Pneumonia (disambiguation)
機會,253,기회,opportunity
蘇貞昌,253,소정창,Su Ching-chang (disambiguation)
武力,250,무력,force of arms
周玉蔻,249,저우위커우,Chou Yu-chou (disambiguation)
基礎,245,기초,foundation
外交部,243,외교부,Ministry of Foreign Affairs
晶片,240,웨이퍼,wafer
總書記,239,총서기,General Secretary
王必勝,239,왕필승,The King will win.
小三通,239,샤오티통,small three-way connection
計畫,233,계획하다.,plan
雙方,233,쌍방,both sides
關鍵,233,관건,key
交流,228,교류,Communication
委員,228,위원,Commissioners
立場,227,입장,Positioning
宜蘭縣,225,후쿠시마,Fukushima (disambiguation)
利益,225,이익,Interests
領導人,223,지도자,Leaders of the United States
專家,223,전문가,Experts
疾病,222,질병,Illness
產品,221,제품,Products
嘉義縣,220,자이 현,Chiayi County
韓國,219,한국,Korea
目標,217,목표,Goals
戰爭,215,전쟁,War (disambiguation)
柯文哲,213,커원저,Coventry (disambiguation)
印度,212,인도,India national football team
西方,210,서방,the West
外界,209,외부,the outside world
技術,209,기술,Technology
規定,206,정하다.,Regulations
口罩,197,마스크,Mask (disambiguation)
冠狀,195,관,crown
峰會,194,정상 회담,summit
新北市,194,신베이 시,New North City (disambiguation)
選人,193,인선,elect
總理,192,총리,Prime Minister of the People's Republic of China
重症,191,미셸,Michel the Great
機場,188,공항,Airports
兩國,187,양국,two countries
建議,185,조언,Recommendations
中華民國,185,중화민국,Republic of China
聲明,184,성명,Declaration
張善政,181,장선정,good governance
歷史,181,역사,History
城市,180,도시,City (disambiguation)
全國,179,전국,nationwide
感染者,179,윗사람,the elderly
高端,178,고급의,high-end
全世界,178,온 세상,all over the world
台中市,177,타이중 시,Taichung Municipality
飛彈,177,미사일,Missile (aircraft)
規劃,174,기획하다,Planning
態度,174,태도,attitude
基隆市,173,지룽 시,Keelung Municipality
鄭運鵬,172,정운붕,Zheng Yunpeng (disambiguation)
武器,172,무기,Weapons
俄烏戰爭,172,러시아-우크라이나 전쟁,Russo-Ukrainian War of Independence
桃園市,172,타오위안 시,Taoyuan Municipality
價值,171,가치,value
市民,171,시민,citizen
黃珊珊,170,황산산,WONG Shan-shan (disambiguation)
法案,170,법안,Bill of Rights
屏東縣,170,중국 해군,Chinese Navy
基金,170,펀드,Fund
領袖,169,영도자,leader
政黨,169,정당,Political parties
台商,167,대만 상인,Taiwanese businessman
苗栗,167,새싹의 밤,seedling chestnut
國人,166,내국인,nationality
整體,165,전체,whole
業者,164,업자,businessman
印太,164,인도,Indo-Pacific region
亞洲,163,아시아,Asia (disambiguation)
俄國,162,러시아,Russia (disambiguation)
利用,162,이용하다.,make use of
考量,160,고려하다,consider
危機,159,위기,crisis
制裁,158,제재하다,Sanctions
澳洲,157,오스트레일리아,Australian national football team
國防部,156,국방부,Ministry of Defence
能源,156,에너지,Energy sources
董事,156,이사,director
領導,155,이끌다.,Leadership
印尼,155,인도네시아,Indonesian national football team
花蓮縣,154,화롄현,Hualien County
責任,154,책임,Responsibility
現狀,152,현상,Current status
大會,151,대회,General Assembly
人口,151,인구,Population
藥,149,약,medicine
主權,148,주권,sovereignty
文化,147,문화,Culture
雲林縣,146,윈린현,Yunlin County
胡錦濤,146,후진타오,President Hu Jintao
居民,145,주민,inhabitants
資源,145,자원,Resources
行政院,145,행정원,Executive Yuan of the People's Republic of China
環境,143,환경,Environment
壓力,142,압력,pressure
原則,142,원칙,Principles
人權,141,인권,Human rights
通報,140,통보하다,give notice of
錢,139,돈,money
中華,139,중화,Chinese nationality
抗議,139,항의하다,protest
策略,139,책략,strategy
客戶,138,거래처,Clients
國會,138,국회,National Assembly of the United States
地位,137,지위,Status
力量,136,힘,strength
核心,134,핵심,core
澎湖,134,펑후,Penghu (disambiguation)
陽性,134,인계하다,account
戰,133,싸우다,fight
趨勢,133,추세,Trending
陸委會,131,육상 위원회,Mainland Commission
開票,131,영수증을 끊다,open a ballot
政治局,131,정치국,Politburo of the People's Republic of China
空間,130,공간,Space (disambiguation)
投票,130,투표하다.,Voting
價格,130,가격,Price
目的,129,목적,Objectives
美中,129,옥에 티,U.S. and China
航班,129,항공편,Flights
台幣,128,대만 달러,Taiwan dollar (denominated)
軍,128,군,military
江澤民,127,장쩌민,Chinese President Jiang Zemin
選民,126,유권자,electorate
秩序,126,질서,order
成員,126,구성원,Members
權力,125,권력,Power
白宮,125,백악관,White House (disambiguation)
票,125,표,ticket
加拿大,125,캐나다,Canadian national football team
盟友,124,맹우,ally
症狀,123,플랫폼,platform
學生,122,학생,Students
北韓,122,북한,Democratic People's Republic of Korea
機制,121,메커니즘,Mechanisms
民族,121,민족,Ethnic groups
行政,120,행정,Administration
方案,120,방안,Programmes
越南,120,베트남,Vietnamese national football team
金融,119,금융,finance
法國,118,프랑스,France
無人機,117,드론,Unmanned aerial vehicles
訊息,116,메시지,information
鄭州,115,정저우,Zhengzhou Municipality
王鴻薇,115,왕훙웨이,Wang Hongwei (disambiguation)
直言,115,직언,direct speech
國際社會,115,국제 사회,International community
朋友,114,친구,Friend.
新疆,114,신장,Xinjiang (People's Republic of China)
新加坡,113,싱가포르,Singapore national football team
陰性,113,여성,negative
抗中保台,111,항중보대,Anti-China Protection Platform
黨籍,111,당적,Party membership
裴洛西,111,펠로시,Palosi (disambiguation)
朱立倫,110,주리룬,Jullien (disambiguation)
公民,110,공민,citizen
布林肯,110,블링컨,Brinkling (disambiguation)
邊境,110,변경,Borders
意識,109,의식,Consciousness
規範,109,규범,canonical
條件,108,조건,condition
階段,108,단계,stage
居家,108,개,dog
電話,107,전화를,Telephone number
手段,107,수단,means
無症,107,무증,disease-free
任期,107,임기,Term of office
中國共產黨,107,중국 공산당,Communist Party of China
民間,106,민간,the private sector
無法,105,방법이 없다,I can't.
協議,105,프로토콜,Agreements
韌性,105,근성,toughness
優勢,104,우세,advantage
普丁,104,푸딩,Putin (disambiguation)
地緣,103,지연,geographical region
專案,103,특별 안건,Special case
接種率,102,접종률,inoculation rate
電子,101,전자,Electronics
廠商,101,메이커,Manufacturers
台灣海峽,100,타이완 해협,Straits of Taiwan
重要性,100,중요성,Importance
事務,100,사무,Services
華府,99,워싱턴 D.C.,"Washington, D.C."
商,99,상의하다,commercial
計劃,99,계획하다.,plan
範圍,98,범위,scope
島,98,섬,Island (disambiguation)
羅一鈞,98,,
會面,98,면회,meet
官,97,관청,official
鄉親,97,의무역,compulsory service
身分,97,신분,status
台股,97,대만 주식,Taiwan Stock Exchange
經貿,97,경제 무역,Economic and trade relations
資金,97,자금,Funding
民主自由,96,민주자유,democratic freedom
觀光,96,관광하다.,sightseeing
首度,96,제1차,for the first time
賴清德,95,라이칭더,"Lai Ching-teh, Duke of Ching-teh"
好友,95,친한 친구,a close friend
論文,94,논문,Thesis paper
藥物,94,약물,Drugs
泰國,94,태국,Thailand
馬斯克,93,머스크,Musk (disambiguation)
群眾,93,대중,crowd
台大,93,대만 대학,National Taiwan University
部隊,92,부대,Troops
信心,92,자신,confidence
言論,92,언론,speech
角色,92,역할,Character (characters)
研究所,91,연구소,Research institutes
醫師,91,의사,Physicians
同胞,91,동포,compatriots
一中,91,일등,First Middle School
工程,91,프로젝트,Engineering
曹興誠,90,조흥성,Tsao Xingcheng (disambiguation)
大利,90,큰 이익,Italy
軍演,90,군사 훈련,military exercises
員工,89,종업원,Staff members
行程,89,여정,itinerary
馬英九,88,마잉주,Ma Ying-jeou (disambiguation)
現任,88,현직,Current
高虹安,88,병,disease
政見,88,정견,political opinion
白紙,88,백지,white paper
勢力,87,세력,power
外國,87,외국,Foreign countries
學者,87,학자,Scholarly
共識,86,컨센서스,Consensus (disambiguation)
科學,86,과학,Science (disambiguation)
王美花,86,왕메이화,Wang Mei-hua (disambiguation)
鴻海,85,홍해,the Great Sea
食品,85,식품,Foodstuffs
族群,85,민족,ethnic group
可能性,85,가능성,possibility
關心,85,관심,be interested in
政權,84,정권,government
住院,84,입원하다.,be hospitalized
標準,84,표준,Standards
高層,84,고층,high-rise
焦點,83,초점,focus
交通,83,교통,Transportation
馬來西亞,83,말레이시아,Malaysia national football team
金馬,83,왕딩위,Wang Dingyu (disambiguation)
國軍,83,국군,Armed Forces of the People's Republic of China
海外,83,해외,overseas
經驗,82,경험,Experience
汪洋,82,망망하다,a vast expanse of water
吳釗燮,82,오쇠섭,Oh So-seop (disambiguation)
專業,81,전공,Professional
富士康,81,폭스콘,Foxconn Corporation
基層,80,말단,grassroots
莊人祥,80,,
艦隊,80,함대,Fleet (disambiguation)
廣東,80,광둥,Cantonese national football team
戰力,80,전력,military strength
國務院,79,국무원,State Council of the People's Republic of China
企圖,79,기도하다,attempt
