chinese,korean,english
中國,중국,People's Republic of China
台灣,대만,Taiwan
美國,미국,United States
疫情,팬데믹,pandemic
國家,국가,Country
國民黨,국민당,Kuomintang
習近平,시진핑,Xi Jinping
台灣海峽,대만해협,Taiwan Strait
民進黨,민진당,Democratic Progressive Party (DPP)
兩岸,양안,Cross-Strait
軍事,군사,Military
和平,평화,peace
裴洛西,펠로시,Pelosi
導彈,미사일,Missiles (disambiguation)
半導體,반도체,semiconductor
戰爭,전쟁,War
台積電,TSMC,TSMC Corporation
蔡英文,차이잉원,Tsai Ing-wen
主權,주권,sovereignty
中華民國,중화민국,Republic of China
俄烏戰爭,러시아-우크라이나 전쟁,Russo-Ukrainian War
柯文哲,커원저,Ko Wen-je
台商,대만 상인,Taiwanese businessman
中華,중화,Chinese nationality
中國共產黨,중국 공산당,Communist Party of China
共軍,공산군,Communist army
美中,미중,US-China
九二共識,92공식,The 1992 Consensus
大陸,대륙,Continent
一中,하나의 중국,One-China policy
經貿,경제 무역,Economic and trade relations
犯台,대만침범,Taiwan invasion
小三通,소삼통,small three-way connection
民主自由,민주자유,democratic freedom
國安,국가안보,national security
美軍,미군,U.S. military
賴清德,라이칭더,Lai Ching-te
民眾黨,민중당,Taiwan People's Party
侯友宜,허우유이,Hou You-yi
鴻海,폭스콘,Foxconn
抗中保台,항중보대,Resist China Protect Taiwan
同胞,동포,compatriots
假訊息,가짜 정보,false information
富士康,폭스콘,Foxconn
文攻武嚇,문공무혁,literary attack and force threats
中資,중국 자본,chinese capital
海峽中線,해협중앙선,Strait Midline
祖國,조국,one's country
戰備,전쟁 준비,preparation for war
韓國瑜,한궈위,han kuo-yu
民主,민주,Democracy 
中線,중앙선,Midline
中美,중미,China-US
武統,무력통일,forced reunification
共同富裕,함께 부유하다.,common prosperity
台軍,대만 군대,Taiwanese military
神山,TSMC (신산),TSMC (the Holy Mountain)
