chinese,korean,english,count
印太地區,,,3088.0
大利,큰 이익,Italy,642.0
大事,대사,significant event,274.0
早報,조간신문,morning paper,273.0
神山,TSMC,TSMC,273.0
東協,ASEAN,ASEAN,273.0
用戶,고객,user,272.0
動向,동향,trend,268.0
群島,군도,archipelago,267.0
憲章,헌장,Charter,267.0
例子,예시,example,265.0
吸引力,흡입력,pulling power,265.0
事項,사항,item,265.0
宏觀,거시적,Macro-perspective,264.0
曼谷,방콕,Bangkok,264.0
聯合,연합,united,264.0
北美,북미,North America,264.0
戰火,,,263.0
身份,신분,status,263.0
降溫,식히다,cool down,263.0
課題,과제,assignment,263.0
敵意,적의,hostility,262.0
灰色,회색,gray,262.0
南華,,,261.0
軍援,군사지원,military support,260.0
文攻武,문공무,Literary offensive and martial arts,417.0
協力,협력,cooperation,225.0
獨裁者,독재자,Dictator,223.0
彈藥,탄약,ammunition,221.0
廣場,광장,plaza,220.0
全數,전수,whole amount,220.0
條文,조문,provision,220.0
江蘇,,,220.0
次長,차장,associate director,219.0
言行,언행,words and behavior,218.0
醫療量,의료량,amount of medical care,218.0
文旦,포멜로,Pomello,218.0
洪友芳,,,216.0
中正,장개석,Chiang Kai-shek,216.0
澤連斯,젤렌스,Zelens (disambiguation),28.0
藥局,약국,pharmacy,24.0
殯儀館,장례식장,funeral parlor,24.0
變局,변화,changed situation,24.0
電信,통신,tele-communication,24.0
時段,시간대,time period,24.0
營業額,매출액,sales revenue,24.0
美商,미국 기업,American company,23.0
呼吸衰竭,호흡곤란,respiratory failure,23.0
乙,,,23.0
接班人,후계자,successor,23.0
酚,페놀,Phenol,23.0
純益,순이익,net profit,23.0
利空,,,23.0
性別,성별,sex,23.0
服役,복역,serve in military,23.0
動能,운동에너지,Kinetic energy,23.0
